phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
eosinophil_percent	8	130623382	130623410	8_130256945_130827811	AC	{10.5: 0.0, 11.5: 0.0, 12.5: 50.0, 13.5: 2224.39, 14.5: 109593.36, 15.5: 326318.17, 16.5: 44780.09, 17.5: 58767.05, 18.5: 6531.25, 19.5: 3922.82, 20.5: 112042.84, 21.5: 5865.78, 22.5: 136.99}	3.02e-65	-	confidently	0.969601783138041	1.0	0.965304196179682	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.363, 0.00118, 0.098, 0.368, 0.000125	NA, -, NA, NA, -	{10.5: 0.0, 11.5: 0.0, 12.5: 817.98, 13.5: 2.1, 14.5: 3236.98, 15.5: 2945.18, 16.5: 2980.47, 17.5: 1019.4, 18.5: 63.96, 19.5: 411.69, 20.5: 1887.35, 21.5: 169.66, 22.5: 2.49}	{10.5: 0.0, 11.5: 0.0, 12.5: 6.25, 13.5: 11.68, 14.5: 1045.53, 15.5: 6185.34, 16.5: 2985.31, 17.5: 708.45, 18.5: 80.96, 19.5: 118.9, 20.5: 2192.43, 21.5: 204.49, 22.5: 5.75}	{10.5: 0.0, 11.5: 0.0, 12.5: 0.94, 13.5: 0.07, 14.5: 138.76, 15.5: 716.76, 16.5: 422.37, 17.5: 20.13, 18.5: 124.6, 19.5: 14.72, 20.5: 1308.03, 21.5: 61.9, 22.5: 13.47}	{10.5: 0.0, 11.5: 0.0, 12.5: 1.66, 13.5: 57.36, 14.5: 3300.06, 15.5: 11130.24, 16.5: 1756.3, 17.5: 2019.38, 18.5: 214.43, 19.5: 151.76, 20.5: 3571.45, 21.5: 192.95, 22.5: 4.46}	{10.5: 0.0, 11.5: 0.0, 12.5: 8.77, 13.5: 67.09, 14.5: 4395.56, 15.5: 14226.09, 16.5: 2244.36, 17.5: 2656.19, 18.5: 366.18, 19.5: 176.3, 20.5: 5232.84, 21.5: 259.93, 22.5: 11.94}
lymphocyte_percent	8	130623382	130623410	8_130357617_130821137	AC	{10.5: 0.0, 11.5: 0.0, 12.5: 50.26, 13.5: 2216.17, 14.5: 109634.7, 15.5: 326188.99, 16.5: 44785.36, 17.5: 58789.61, 18.5: 6528.73, 19.5: 3942.56, 20.5: 112076.35, 21.5: 5883.98, 22.5: 136.14}	2.32e-24	-	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.801, 0.074, 0.294, 0.362, 0.128	NA, NA, NA, NA, NA	{10.5: 0.0, 11.5: 0.0, 12.5: 820.67, 13.5: 2.1, 14.5: 3239.22, 15.5: 2935.26, 16.5: 2991.73, 17.5: 1024.96, 18.5: 62.66, 19.5: 401.88, 20.5: 1888.83, 21.5: 167.41, 22.5: 2.5}	{10.5: 0.0, 11.5: 0.0, 12.5: 6.24, 13.5: 11.03, 14.5: 1038.03, 15.5: 6181.63, 16.5: 2993.47, 17.5: 706.96, 18.5: 81.3, 19.5: 119.36, 20.5: 2196.97, 21.5: 204.18, 22.5: 5.84}	{10.5: 0.0, 11.5: 0.0, 12.5: 0.94, 13.5: 0.07, 14.5: 138.69, 15.5: 715.88, 16.5: 420.28, 17.5: 19.64, 18.5: 125.17, 19.5: 14.77, 20.5: 1310.79, 21.5: 62.02, 22.5: 13.48}	{10.5: 0.0, 11.5: 0.0, 12.5: 1.64, 13.5: 56.83, 14.5: 3292.83, 15.5: 11149.2, 16.5: 1755.33, 17.5: 2016.81, 18.5: 214.33, 19.5: 150.1, 20.5: 3565.65, 21.5: 192.74, 22.5: 4.57}	{10.5: 0.0, 11.5: 0.0, 12.5: 8.74, 13.5: 66.98, 14.5: 4396.09, 15.5: 14236.9, 16.5: 2240.77, 17.5: 2648.81, 18.5: 366.11, 19.5: 176.48, 20.5: 5232.78, 21.5: 259.63, 22.5: 11.94}
neutrophil_count	8	130623382	130623410	8_130361168_130821145	AC	{10.5: 0.0, 11.5: 0.0, 12.5: 50.68, 13.5: 2212.38, 14.5: 109613.56, 15.5: 326350.28, 16.5: 44845.72, 17.5: 58725.16, 18.5: 6518.53, 19.5: 3944.89, 20.5: 111960.2, 21.5: 5869.57, 22.5: 135.83}	2.88e-18	+	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.159, 0.154, 0.097, 0.554, 0.0559	NA, NA, NA, NA, NA	{10.5: 0.0, 11.5: 0.0, 12.5: 821.03, 13.5: 2.1, 14.5: 3246.0, 15.5: 2935.7, 16.5: 2987.75, 17.5: 1022.47, 18.5: 62.32, 19.5: 406.27, 20.5: 1884.96, 21.5: 166.15, 22.5: 2.47}	{10.5: 0.0, 11.5: 0.0, 12.5: 6.24, 13.5: 11.62, 14.5: 1047.83, 15.5: 6181.89, 16.5: 2984.98, 17.5: 698.95, 18.5: 79.55, 19.5: 120.61, 20.5: 2204.44, 21.5: 203.26, 22.5: 5.72}	{10.5: 0.0, 11.5: 0.0, 12.5: 0.96, 13.5: 0.07, 14.5: 139.14, 15.5: 719.32, 16.5: 423.19, 17.5: 18.62, 18.5: 121.78, 19.5: 14.68, 20.5: 1308.83, 21.5: 61.75, 22.5: 13.4}	{10.5: 0.0, 11.5: 0.0, 12.5: 1.65, 13.5: 58.28, 14.5: 3312.98, 15.5: 11141.46, 16.5: 1744.55, 17.5: 2009.11, 18.5: 212.94, 19.5: 151.72, 20.5: 3569.28, 21.5: 191.67, 22.5: 4.41}	{10.5: 0.0, 11.5: 0.0, 12.5: 8.75, 13.5: 67.09, 14.5: 4399.13, 15.5: 14208.97, 16.5: 2244.79, 17.5: 2654.04, 18.5: 366.34, 19.5: 176.23, 20.5: 5248.47, 21.5: 259.48, 22.5: 11.96}
neutrophil_percent	8	130623382	130623410	8_130404159_130821145	AC	{10.5: 0.0, 11.5: 0.0, 12.5: 50.77, 13.5: 2218.54, 14.5: 109600.35, 15.5: 326421.87, 16.5: 44734.43, 17.5: 58687.27, 18.5: 6510.45, 19.5: 3940.0, 20.5: 112044.58, 21.5: 5888.7, 22.5: 136.32}	4.09e-21	+	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.578, 0.187, 0.0466, 0.746, 0.238	NA, NA, +, NA, NA	{10.5: 0.0, 11.5: 0.0, 12.5: 820.16, 13.5: 2.1, 14.5: 3240.15, 15.5: 2952.52, 16.5: 2974.65, 17.5: 1019.95, 18.5: 64.82, 19.5: 407.24, 20.5: 1886.03, 21.5: 167.15, 22.5: 2.49}	{10.5: 0.0, 11.5: 0.0, 12.5: 6.29, 13.5: 11.03, 14.5: 1048.16, 15.5: 6175.36, 16.5: 2977.29, 17.5: 708.61, 18.5: 80.97, 19.5: 120.65, 20.5: 2207.19, 21.5: 203.81, 22.5: 5.7}	{10.5: 0.0, 11.5: 0.0, 12.5: 0.95, 13.5: 0.07, 14.5: 138.37, 15.5: 714.27, 16.5: 425.46, 17.5: 19.12, 18.5: 123.65, 19.5: 14.72, 20.5: 1310.07, 21.5: 61.67, 22.5: 13.4}	{10.5: 0.0, 11.5: 0.0, 12.5: 1.64, 13.5: 56.21, 14.5: 3297.65, 15.5: 11131.43, 16.5: 1756.77, 17.5: 2026.51, 18.5: 213.61, 19.5: 151.85, 20.5: 3565.57, 21.5: 194.34, 22.5: 4.46}	{10.5: 0.0, 11.5: 0.0, 12.5: 8.75, 13.5: 67.07, 14.5: 4391.87, 15.5: 14212.1, 16.5: 2240.19, 17.5: 2656.04, 18.5: 367.07, 19.5: 176.28, 20.5: 5253.31, 21.5: 260.59, 22.5: 12.0}
white_blood_cell_count	8	130623382	130623410	8_130361240_130821145	AC	{10.5: 0.0, 11.5: 0.0, 12.5: 52.15, 13.5: 2218.51, 14.5: 109823.82, 15.5: 326694.14, 16.5: 44828.03, 17.5: 58908.41, 18.5: 6541.85, 19.5: 3934.69, 20.5: 112187.86, 21.5: 5904.62, 22.5: 137.17}	7.87e-11	+	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.124, 0.528, 0.248, 0.394, 0.0509	NA, NA, NA, NA, NA	{10.5: 0.0, 11.5: 0.0, 12.5: 820.37, 13.5: 2.1, 14.5: 3251.82, 15.5: 2951.35, 16.5: 2989.82, 17.5: 1025.66, 18.5: 63.72, 19.5: 407.99, 20.5: 1893.08, 21.5: 166.83, 22.5: 2.5}	{10.5: 0.0, 11.5: 0.0, 12.5: 6.29, 13.5: 11.66, 14.5: 1036.89, 15.5: 6197.53, 16.5: 2996.32, 17.5: 708.0, 18.5: 80.73, 19.5: 119.11, 20.5: 2210.13, 21.5: 206.61, 22.5: 5.84}	{10.5: 0.0, 11.5: 0.0, 12.5: 0.96, 13.5: 0.07, 14.5: 138.95, 15.5: 716.39, 16.5: 425.63, 17.5: 19.1, 18.5: 122.29, 19.5: 14.73, 20.5: 1308.41, 21.5: 61.82, 22.5: 13.38}	{10.5: 0.0, 11.5: 0.0, 12.5: 1.86, 13.5: 57.78, 14.5: 3316.25, 15.5: 11150.97, 16.5: 1744.69, 17.5: 2028.42, 18.5: 214.01, 19.5: 152.87, 20.5: 3578.11, 21.5: 196.59, 22.5: 4.47}	{10.5: 0.0, 11.5: 0.0, 12.5: 8.78, 13.5: 67.13, 14.5: 4401.29, 15.5: 14245.23, 16.5: 2250.54, 17.5: 2648.84, 18.5: 366.71, 19.5: 176.62, 20.5: 5259.3, 21.5: 260.85, 22.5: 11.93}
lymphocyte_percent	8	130690727	130690753	8_130357617_130821137	AAT	{6.0: 3.21, 8.0: 111729.86, 9.0: 557745.07, 10.0: 689.86}	1.62e-11	-	confidently	0.998119318051394	0.944553	0.994485580523612	0.984525	0.979651	0.963498	1.0	0.944435	0.987688918844043	0.855841	0.0241498	0.661, 0.000554, 0.59, 0.259, 0.392	NA, -, NA, NA, NA	{6.0: 0.04, 8.0: 3236.05, 9.0: 10298.96, 10.0: 0.95}	{6.0: 0.78, 8.0: 2359.37, 9.0: 11175.57, 10.0: 6.28}	{6.0: 4.9, 8.0: 547.9, 9.0: 2267.17, 10.0: 0.03}	{6.0: 0.13, 8.0: 3545.08, 9.0: 18826.03, 10.0: 26.76}	{6.0: 0.73, 8.0: 4432.87, 9.0: 25182.15, 10.0: 26.25}
neutrophil_count	8	130690727	130690753	8_130361168_130821145	AAT	{6.0: 3.2, 8.0: 111808.67, 9.0: 557665.49, 10.0: 684.64}	2.41e-28	+	singly	0.999874339362317	0.155986	0.999829985120436	1.0	0.118449	0.934324	0.0428784	0.193912	0.999640098341488	0.0465696	0.993347	0.844, 0.000083, 0.674, 0.222, 0.0959	NA, +, NA, NA, NA	{6.0: 0.04, 8.0: 3238.18, 9.0: 10296.83, 10.0: 0.95}	{6.0: 0.75, 8.0: 2345.64, 9.0: 11190.3, 10.0: 5.31}	{6.0: 4.86, 8.0: 543.56, 9.0: 2271.55, 10.0: 0.03}	{6.0: 0.14, 8.0: 3549.83, 9.0: 18819.1, 10.0: 26.93}	{6.0: 0.73, 8.0: 4435.48, 9.0: 25179.8, 10.0: 25.99}
neutrophil_percent	8	130690727	130690753	8_130404159_130821145	AAT	{6.0: 3.46, 8.0: 111723.9, 9.0: 557756.57, 10.0: 684.07}	7.91e-18	+	singly	0.996093091042003	0.674577	0.0	0.37606	0.579409	0.54274	0.429693	0.674577	0.0	0.374307	0.534232	0.607, 0.000297, 0.297, 0.2, 0.277	NA, +, NA, NA, NA	{6.0: 0.04, 8.0: 3235.99, 9.0: 10299.02, 10.0: 0.95}	{6.0: 0.76, 8.0: 2353.88, 9.0: 11181.98, 10.0: 5.38}	{6.0: 4.84, 8.0: 550.28, 9.0: 2264.85, 10.0: 0.03}	{6.0: 0.13, 8.0: 3562.8, 9.0: 18808.33, 10.0: 26.74}	{6.0: 0.73, 8.0: 4433.7, 9.0: 25181.77, 10.0: 25.8}
white_blood_cell_count	8	130690727	130690753	8_130361240_130821145	AAT	{6.0: 3.49, 8.0: 111840.94, 9.0: 558630.56, 10.0: 691.01}	1.0e-19	+	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68, 0.00615, 0.432, 0.18, 0.0845	NA, +, NA, NA, NA	{6.0: 0.04, 8.0: 3240.66, 9.0: 10332.35, 10.0: 0.95}	{6.0: 0.78, 8.0: 2357.83, 9.0: 11211.4, 10.0: 5.99}	{6.0: 4.86, 8.0: 548.52, 9.0: 2266.59, 10.0: 0.03}	{6.0: 0.14, 8.0: 3567.2, 9.0: 18850.28, 10.0: 26.38}	{6.0: 0.73, 8.0: 4445.22, 9.0: 25221.87, 10.0: 26.18}
eosinophil_count	10	44885784	44885799	10_44733868_45018756	A	{15.0: 26.37, 16.0: 122144.76, 17.0: 211646.3, 18.0: 271238.27, 19.0: 65012.14, 20.0: 141.89}	7.83e-12	-	not	0.0	0.0										0.977, 0.627, 0.142, 0.162, 0.341	NA, NA, NA, NA, NA	{15.0: 298.11, 16.0: 5210.8, 17.0: 2264.0, 18.0: 5332.65, 19.0: 431.09, 20.0: 0.05}	{15.0: 1.88, 16.0: 2716.03, 17.0: 4595.74, 18.0: 4250.2, 19.0: 1979.87, 20.0: 0.53}	{15.0: 0.15, 16.0: 531.14, 17.0: 435.28, 18.0: 1234.34, 19.0: 619.76, 20.0: 0.13}	{15.0: 1.07, 16.0: 4229.51, 17.0: 6961.26, 18.0: 9052.02, 19.0: 2149.28, 20.0: 4.39}	{15.0: 0.54, 16.0: 5012.22, 17.0: 9405.78, 18.0: 12650.27, 19.0: 2570.8, 20.0: 4.91}
lymphocyte_count	10	44885784	44885799	10_44733868_45077832	A	{15.0: 26.16, 16.0: 122018.14, 17.0: 211789.31, 18.0: 271251.36, 19.0: 64981.86, 20.0: 143.07}	1.2e-8	-	not	0.0	0.0										0.225, 0.253, 0.355, 0.32, 0.828	NA, NA, NA, NA, NA	{15.0: 296.07, 16.0: 5230.09, 17.0: 2266.08, 18.0: 5312.99, 19.0: 431.44, 20.0: 0.05}	{15.0: 1.95, 16.0: 2726.81, 17.0: 4600.24, 18.0: 4236.98, 19.0: 1977.7, 20.0: 0.54}	{15.0: 0.15, 16.0: 524.17, 17.0: 432.22, 18.0: 1241.34, 19.0: 622.77, 20.0: 0.13}	{15.0: 1.75, 16.0: 4233.1, 17.0: 6949.79, 18.0: 9066.85, 19.0: 2141.63, 20.0: 4.41}	{15.0: 0.53, 16.0: 5013.98, 17.0: 9401.93, 18.0: 12653.94, 19.0: 2569.26, 20.0: 4.86}
neutrophil_count	10	44885784	44885799	10_44747361_45010781	A	{15.0: 26.37, 16.0: 122097.77, 17.0: 211616.45, 18.0: 271347.77, 19.0: 64979.65, 20.0: 142.26}	1.91e-11	-	not	0.0	0.0498035										0.902, 0.0888, 0.674, 0.65, 0.931	NA, NA, NA, NA, NA	{15.0: 296.59, 16.0: 5228.6, 17.0: 2260.44, 18.0: 5321.36, 19.0: 429.65, 20.0: 0.05}	{15.0: 1.89, 16.0: 2725.23, 17.0: 4604.56, 18.0: 4234.32, 19.0: 1977.7, 20.0: 0.55}	{15.0: 0.15, 16.0: 527.38, 17.0: 436.91, 18.0: 1231.48, 19.0: 624.75, 20.0: 0.13}	{15.0: 1.07, 16.0: 4228.98, 17.0: 6954.48, 18.0: 9061.58, 19.0: 2146.96, 20.0: 4.42}	{15.0: 0.56, 16.0: 5012.64, 17.0: 9392.79, 18.0: 12659.56, 19.0: 2574.06, 20.0: 4.9}
white_blood_cell_count	10	44885784	44885799	10_44733868_45016519	A	{15.0: 26.21, 16.0: 122329.46, 17.0: 211888.0, 18.0: 271793.74, 19.0: 65034.16, 20.0: 142.03}	4.58e-19	-	confidently	0.999596239924895	0.980558	0.998785421181099	0.983243	0.980517	0.985397	0.99628	0.980558	0.999030655119787	0.927328	1.0	0.405, 0.0562, 0.573, 0.907, 0.575	NA, NA, NA, NA, NA	{15.0: 297.09, 16.0: 5220.92, 17.0: 2276.01, 18.0: 5346.25, 19.0: 434.4, 20.0: 0.05}	{15.0: 1.91, 16.0: 2714.82, 17.0: 4596.07, 18.0: 4282.81, 19.0: 1982.0, 20.0: 0.63}	{15.0: 0.15, 16.0: 525.66, 17.0: 436.05, 18.0: 1236.22, 19.0: 622.58, 20.0: 0.13}	{15.0: 1.75, 16.0: 4239.75, 17.0: 6953.31, 18.0: 9093.68, 19.0: 2152.65, 20.0: 4.42}	{15.0: 0.56, 16.0: 5026.02, 17.0: 9419.32, 18.0: 12664.99, 19.0: 2580.75, 20.0: 4.88}
apolipoprotein_b	10	94596855	94596893	10_94405832_95193338	AC	{14.5: 158.9, 15.5: 1659.3, 16.5: 195.6, 18.5: 5349.52, 19.5: 16910.07, 20.5: 152234.94, 21.0: 0.0, 21.5: 189932.04, 22.0: 11.46, 22.5: 70820.57, 23.5: 207824.53, 24.5: 7191.63, 25.5: 6555.67, 26.5: 52.63}	9.45e-11	+	not	0.0	0.0										0.949, 0.0544, 0.969, 0.117, 0.765	NA, NA, NA, NA, NA	{14.5: 0.18, 15.5: 3.99, 16.5: 0.16, 18.5: 290.54, 19.5: 141.26, 20.5: 3028.39, 21.0: 0.0, 21.5: 3780.98, 22.0: 0.08, 22.5: 1485.13, 23.5: 4339.34, 24.5: 165.49, 25.5: 123.73, 26.5: 0.15}	{14.5: 3.29, 15.5: 15.64, 16.5: 0.52, 18.5: 40.9, 19.5: 180.24, 20.5: 5148.34, 21.0: 0.0, 21.5: 3428.25, 22.0: 9.26, 22.5: 2020.11, 23.5: 2268.97, 24.5: 195.26, 25.5: 17.03, 26.5: 1.61}	{14.5: 0.0, 15.5: 0.06, 16.5: 0.0, 18.5: 14.54, 19.5: 36.77, 20.5: 2116.48, 21.0: 0.0, 21.5: 249.5, 22.0: 0.26, 22.5: 291.55, 23.5: 38.57, 24.5: 1.55, 25.5: 0.62, 26.5: 0.01}	{14.5: 5.31, 15.5: 48.31, 16.5: 6.55, 18.5: 157.76, 19.5: 597.63, 20.5: 4891.82, 21.0: 0.0, 21.5: 6787.57, 22.0: 0.29, 22.5: 2274.36, 23.5: 6764.08, 24.5: 234.48, 25.5: 189.93, 26.5: 0.83}	{14.5: 8.88, 15.5: 79.41, 16.5: 7.04, 18.5: 255.93, 19.5: 624.03, 20.5: 7280.94, 21.0: 0.0, 21.5: 8213.11, 22.0: 0.53, 22.5: 3305.35, 23.5: 8605.64, 24.5: 452.83, 25.5: 228.65, 26.5: 3.58}
eosinophil_count	10	94596855	94596893	10_94077905_94971093	AC	{14.5: 160.47, 15.5: 1684.44, 16.5: 200.4, 18.5: 5422.81, 19.5: 17237.02, 20.5: 154957.19, 21.0: 0.0, 21.5: 193137.44, 22.0: 11.5, 22.5: 71940.83, 23.5: 211622.83, 24.5: 7345.89, 25.5: 6630.03, 26.5: 53.95}	2.23e-18	-	doubly	0.990152211663928	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.947045978893177	1.0	1.0	0.504, 0.0645, 0.738, 0.0086, 0.411	NA, NA, NA, -, NA	{14.5: 0.21, 15.5: 4.04, 16.5: 0.16, 18.5: 296.74, 19.5: 142.33, 20.5: 3063.63, 21.0: 0.0, 21.5: 3854.1, 22.0: 0.07, 22.5: 1487.87, 23.5: 4393.03, 24.5: 166.18, 25.5: 130.98, 26.5: 0.19}	{14.5: 3.32, 15.5: 15.98, 16.5: 0.49, 18.5: 44.34, 19.5: 184.58, 20.5: 5253.62, 21.0: 0.0, 21.5: 3478.82, 22.0: 11.2, 22.5: 2044.81, 23.5: 2297.15, 24.5: 194.74, 25.5: 16.95, 26.5: 1.59}	{14.5: 0.0, 15.5: 0.06, 16.5: 0.0, 18.5: 14.96, 19.5: 39.39, 20.5: 2169.06, 21.0: 0.0, 21.5: 255.11, 22.0: 0.26, 22.5: 301.41, 23.5: 39.44, 24.5: 1.57, 25.5: 0.62, 26.5: 0.01}	{14.5: 5.33, 15.5: 49.21, 16.5: 6.63, 18.5: 163.31, 19.5: 607.33, 20.5: 5034.13, 21.0: 0.0, 21.5: 6914.21, 22.0: 0.29, 22.5: 2317.89, 23.5: 6866.02, 24.5: 240.32, 25.5: 197.66, 26.5: 0.85}	{14.5: 10.01, 15.5: 82.53, 16.5: 7.34, 18.5: 259.35, 19.5: 632.99, 20.5: 7422.59, 21.0: 0.0, 21.5: 8337.78, 22.0: 0.55, 22.5: 3400.2, 23.5: 8808.01, 24.5: 462.82, 25.5: 226.43, 26.5: 3.63}
eosinophil_percent	10	94596855	94596893	10_94076867_94971093	AC	{14.5: 161.47, 15.5: 1690.42, 16.5: 199.19, 18.5: 5425.8, 19.5: 17232.19, 20.5: 154930.47, 21.0: 0.0, 21.5: 193228.68, 22.0: 11.67, 22.5: 71887.41, 23.5: 211566.53, 24.5: 7378.23, 25.5: 6646.08, 26.5: 52.18}	3.33e-19	-	confidently	0.99934171031303	1.0	0.926958543096247	1.0	1.0	1.0	1.0	1.0	0.99672814768445	1.0	1.0	0.72, 0.0364, 0.73, 0.0282, 0.96	NA, -, NA, -, NA	{14.5: 0.18, 15.5: 4.04, 16.5: 0.16, 18.5: 297.37, 19.5: 141.07, 20.5: 3058.94, 21.0: 0.0, 21.5: 3858.48, 22.0: 0.08, 22.5: 1492.81, 23.5: 4392.47, 24.5: 163.87, 25.5: 129.8, 26.5: 0.19}	{14.5: 3.31, 15.5: 17.15, 16.5: 0.42, 18.5: 43.28, 19.5: 184.03, 20.5: 5269.42, 21.0: 0.0, 21.5: 3468.01, 22.0: 11.13, 22.5: 2042.41, 23.5: 2296.8, 24.5: 192.79, 25.5: 17.04, 26.5: 1.77}	{14.5: 0.0, 15.5: 0.06, 16.5: 0.0, 18.5: 14.8, 19.5: 38.41, 20.5: 2171.17, 21.0: 0.0, 21.5: 255.37, 22.0: 0.26, 22.5: 300.23, 23.5: 39.41, 24.5: 1.57, 25.5: 0.62, 26.5: 0.01}	{14.5: 5.17, 15.5: 48.51, 16.5: 6.73, 18.5: 164.07, 19.5: 601.03, 20.5: 5022.97, 21.0: 0.0, 21.5: 6931.26, 22.0: 0.26, 22.5: 2311.28, 23.5: 6873.89, 24.5: 241.84, 25.5: 197.39, 26.5: 0.84}	{14.5: 10.01, 15.5: 82.38, 16.5: 7.43, 18.5: 260.16, 19.5: 632.93, 20.5: 7423.84, 21.0: 0.0, 21.5: 8345.02, 22.0: 0.55, 22.5: 3397.07, 23.5: 8802.14, 24.5: 461.44, 25.5: 227.59, 26.5: 3.63}
igf_1	10	94596855	94596893	10_94418870_95472041	AC	{14.5: 156.6, 15.5: 1648.37, 16.5: 195.35, 18.5: 5368.22, 19.5: 16929.32, 20.5: 152279.17, 21.0: 0.0, 21.5: 189739.65, 22.0: 11.56, 22.5: 70785.14, 23.5: 207751.08, 24.5: 7197.56, 25.5: 6517.13, 26.5: 51.51}	3.38e-12	+	not	0.0	0.0										0.241, 0.262, 0.221, 0.327, 0.0269	NA, NA, NA, NA, +	{14.5: 0.21, 15.5: 3.93, 16.5: 0.16, 18.5: 283.35, 19.5: 140.66, 20.5: 3030.68, 21.0: 0.0, 21.5: 3783.41, 22.0: 0.08, 22.5: 1494.21, 23.5: 4352.79, 24.5: 165.63, 25.5: 124.15, 26.5: 0.16}	{14.5: 3.28, 15.5: 16.26, 16.5: 0.55, 18.5: 42.45, 19.5: 184.5, 20.5: 5173.84, 21.0: 0.0, 21.5: 3428.51, 22.0: 10.27, 22.5: 2026.54, 23.5: 2269.57, 24.5: 189.27, 25.5: 16.67, 26.5: 1.73}	{14.5: 0.0, 15.5: 0.06, 16.5: 0.0, 18.5: 14.63, 19.5: 36.03, 20.5: 2122.06, 21.0: 0.0, 21.5: 250.3, 22.0: 0.21, 22.5: 289.74, 23.5: 38.67, 24.5: 1.56, 25.5: 0.62, 26.5: 0.01}	{14.5: 5.22, 15.5: 47.86, 16.5: 6.61, 18.5: 155.16, 19.5: 592.21, 20.5: 4929.03, 21.0: 0.0, 21.5: 6804.3, 22.0: 0.29, 22.5: 2278.15, 23.5: 6735.31, 24.5: 234.0, 25.5: 196.02, 26.5: 0.85}	{14.5: 9.91, 15.5: 79.15, 16.5: 7.0, 18.5: 256.34, 19.5: 624.49, 20.5: 7255.78, 21.0: 0.0, 21.5: 8194.99, 22.0: 0.53, 22.5: 3315.55, 23.5: 8623.35, 24.5: 453.43, 25.5: 227.95, 26.5: 3.51}
shbg	10	94596855	94596893	10_94291521_95193338	AC	{14.5: 144.51, 15.5: 1533.66, 16.5: 180.7, 18.5: 4938.25, 19.5: 15616.1, 20.5: 140938.43, 21.0: 0.0, 21.5: 175672.36, 22.0: 10.08, 22.5: 65528.41, 23.5: 192189.45, 24.5: 6653.69, 25.5: 6081.43, 26.5: 49.89}	9.67e-10	-	not	0.0	0.0										0.652, 0.763, 0.103, 0.385, 0.00569	NA, NA, NA, NA, -	{14.5: 0.06, 15.5: 3.81, 16.5: 0.16, 18.5: 270.29, 19.5: 131.13, 20.5: 2779.65, 21.0: 0.0, 21.5: 3531.05, 22.0: 0.05, 22.5: 1385.19, 23.5: 4028.18, 24.5: 151.89, 25.5: 119.64, 26.5: 0.15}	{14.5: 3.25, 15.5: 15.46, 16.5: 0.47, 18.5: 35.52, 19.5: 171.4, 20.5: 4719.37, 21.0: 0.0, 21.5: 3144.52, 22.0: 8.58, 22.5: 1853.74, 23.5: 2080.87, 24.5: 180.01, 25.5: 14.14, 26.5: 1.61}	{14.5: 0.03, 15.5: 0.06, 16.5: 0.0, 18.5: 13.13, 19.5: 33.86, 20.5: 1937.26, 21.0: 0.0, 21.5: 231.0, 22.0: 0.21, 22.5: 266.24, 23.5: 35.83, 24.5: 1.55, 25.5: 0.61, 26.5: 0.01}	{14.5: 4.94, 15.5: 42.98, 16.5: 5.95, 18.5: 144.01, 19.5: 548.05, 20.5: 4478.94, 21.0: 0.0, 21.5: 6211.05, 22.0: 0.26, 22.5: 2093.05, 23.5: 6194.09, 24.5: 222.0, 25.5: 172.31, 26.5: 0.81}	{14.5: 8.43, 15.5: 70.34, 16.5: 6.63, 18.5: 236.61, 19.5: 572.68, 20.5: 6664.06, 21.0: 0.0, 21.5: 7468.76, 22.0: 0.49, 22.5: 3030.07, 23.5: 7858.96, 24.5: 412.93, 25.5: 209.55, 26.5: 3.32}
