phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	relation_to_gene	other_ethnicity_association_p_values	other_ethnic_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies	susie_pip_ratio_4	finemap_pip_ratio_4	finemap_pip_prior_std_0.005
mean_corpuscular_volume	16	67229794	67229850	16_66293241_68965024	AGC	{12.0: 0.00%, 13.0: 0.39%, 15.0: 0.00%, 16.0: 0.00%, 17.0: 0.23%, 18.0: 0.02%, 19.0: 96.60%, 20.0: 2.30%, 21.0: 0.00%, 22.0: 0.02%, 23.0: 0.10%, 24.0: 0.32%}	9.27e-26	+	CDS,three_prime_UTR:E2F4:protein_coding	0.465, 0.0767, 0.508, 0.0177, 0.0473	NaN, NaN, NaN, +, +	{12.0: 0.28%, 13.0: 0.06%, 15.0: 0.01%, 16.0: 1.96%, 17.0: 0.02%, 18.0: 0.00%, 19.0: 89.24%, 20.0: 2.99%, 21.0: 0.00%, 22.0: 4.60%, 23.0: 0.80%, 24.0: 0.05%}	{12.0: 0.01%, 13.0: 0.05%, 15.0: 0.00%, 16.0: 0.02%, 17.0: 0.00%, 18.0: 0.02%, 19.0: 98.30%, 20.0: 1.46%, 21.0: 0.05%, 22.0: 0.05%, 23.0: 0.00%, 24.0: 0.03%}	{12.0: 0.00%, 16.0: 0.00%, 17.0: 0.00%, 18.0: 0.01%, 19.0: 96.13%, 20.0: 2.11%, 21.0: 1.71%, 22.0: 0.03%, 23.0: 0.00%}	{12.0: 0.00%, 13.0: 0.25%, 15.0: 0.00%, 16.0: 0.00%, 17.0: 0.17%, 18.0: 0.02%, 19.0: 96.76%, 20.0: 2.31%, 21.0: 0.01%, 22.0: 0.00%, 23.0: 0.07%, 24.0: 0.41%}	{12.0: 0.01%, 13.0: 0.35%, 15.0: 0.00%, 16.0: 0.03%, 17.0: 0.17%, 18.0: 0.03%, 19.0: 96.14%, 20.0: 2.90%, 21.0: 0.01%, 22.0: 0.08%, 23.0: 0.08%, 24.0: 0.21%}	1.00	1.00	1.00
mean_corpuscular_volume	22	32897470	32897484	22_32732821_33064788	A	{10.0: 0.00%, 13.0: 21.68%, 14.0: 38.21%, 15.0: 39.94%, 16.0: 0.16%, 18.0: 0.02%}	8.45e-133	+	intergenic	0.544, 0.000849, 0.388, 1.76e-8, 0.000373	NaN, +, NaN, +, +	{10.0: 0.01%, 13.0: 9.26%, 14.0: 42.73%, 15.0: 41.37%, 16.0: 0.92%, 18.0: 5.71%}	{10.0: 0.10%, 13.0: 13.10%, 14.0: 37.76%, 15.0: 48.73%, 16.0: 0.29%, 18.0: 0.02%}	{10.0: 0.01%, 13.0: 12.92%, 14.0: 54.43%, 15.0: 31.93%, 16.0: 0.71%, 18.0: 0.00%}	{10.0: 0.00%, 13.0: 22.52%, 14.0: 39.52%, 15.0: 37.79%, 16.0: 0.15%, 18.0: 0.02%}	{10.0: 0.00%, 13.0: 20.98%, 14.0: 37.77%, 15.0: 41.00%, 16.0: 0.19%, 18.0: 0.05%}	1.00	1.00	0.27
mean_platelet_volume	1	150552235	150552290	1_150153389_151446975	CCCCGG	{5.5: 0.02%, 6.33: 56.96%, 7.17: 1.06%, 7.33: 15.04%, 8.33: 0.08%, 9.33: 26.85%}	2.65e-16	-	intergenic	0.981, 0.914, 0.809, 0.867, 0.984	NaN, NaN, NaN, NaN, NaN	{5.5: 0.00%, 6.33: 70.01%, 7.17: 0.13%, 7.33: 12.64%, 8.33: 0.00%, 9.33: 17.22%}	{5.5: 0.22%, 6.33: 44.42%, 7.17: 1.65%, 7.33: 7.70%, 8.33: 0.01%, 9.33: 45.99%}	{5.5: 0.01%, 6.33: 66.35%, 7.17: 0.13%, 7.33: 2.55%, 9.33: 30.97%}	{5.5: 0.01%, 6.33: 53.83%, 7.17: 0.86%, 7.33: 15.96%, 8.33: 0.08%, 9.33: 29.26%}	{5.5: 0.04%, 6.33: 57.28%, 7.17: 1.01%, 7.33: 14.44%, 8.33: 0.09%, 9.33: 27.14%}	0.70	1.00	1.00
mean_platelet_volume	2	106510441	106510491	2_106134024_106662741	AC	{22.5: 27.33%, 23.5: 0.01%, 24.5: 0.33%, 25.5: 8.93%, 26.5: 19.85%, 27.5: 41.14%, 28.5: 0.15%, 29.5: 2.27%}	6.93e-29	-	multigene;three_prime_UTR:NCK2:protein_coding;intron:AC009505.4:lncRNA	0.202, 0.00636, 0.0248, 0.38, 0.195	NaN, -, -, NaN, NaN	{22.5: 19.74%, 23.5: 0.55%, 24.5: 0.03%, 25.5: 9.48%, 26.5: 43.18%, 27.5: 26.56%, 28.5: 0.02%, 29.5: 0.44%}	{22.5: 26.46%, 23.5: 0.19%, 24.5: 0.07%, 25.5: 6.21%, 26.5: 17.15%, 27.5: 49.18%, 28.5: 0.14%, 29.5: 0.60%}	{22.5: 29.74%, 23.5: 0.06%, 25.5: 3.77%, 26.5: 23.40%, 27.5: 42.84%, 28.5: 0.01%, 29.5: 0.18%}	{22.5: 29.09%, 23.5: 0.01%, 24.5: 0.35%, 25.5: 8.31%, 26.5: 18.78%, 27.5: 40.44%, 28.5: 0.13%, 29.5: 2.89%}	{22.5: 26.92%, 23.5: 0.01%, 24.5: 0.30%, 25.5: 9.09%, 26.5: 22.09%, 27.5: 39.58%, 28.5: 0.33%, 29.5: 1.68%}	0.99	0.98	1.00
mean_platelet_volume	3	15702773	15702812	3_15435665_16152711	A	{27.0: 8.39%, 28.0: 0.30%, 29.0: 0.01%, 33.0: 0.91%, 34.0: 56.47%, 35.0: 0.65%, 38.0: 0.30%, 39.0: 0.08%, 40.0: 23.45%, 41.0: 9.34%, 42.0: 0.10%}	6.93e-37	+	intron:BTD:protein_coding	0.821, 0.621, 0.865, 0.174, 0.00161	NaN, NaN, NaN, NaN, +	{27.0: 8.17%, 28.0: 2.21%, 29.0: 3.29%, 33.0: 16.33%, 34.0: 13.14%, 35.0: 0.27%, 38.0: 8.28%, 39.0: 18.55%, 40.0: 19.89%, 41.0: 8.42%, 42.0: 1.43%}	{27.0: 16.76%, 28.0: 0.05%, 29.0: 0.02%, 33.0: 0.48%, 34.0: 49.33%, 35.0: 1.06%, 38.0: 1.53%, 39.0: 0.03%, 40.0: 18.14%, 41.0: 12.48%, 42.0: 0.13%}	{27.0: 40.84%, 28.0: 0.02%, 29.0: 0.04%, 33.0: 3.03%, 34.0: 27.36%, 35.0: 3.95%, 38.0: 0.33%, 39.0: 0.02%, 40.0: 24.02%, 41.0: 0.36%, 42.0: 0.04%}	{27.0: 8.97%, 28.0: 0.32%, 29.0: 0.00%, 33.0: 0.58%, 34.0: 53.91%, 35.0: 1.33%, 38.0: 0.19%, 39.0: 0.04%, 40.0: 25.16%, 41.0: 9.39%, 42.0: 0.09%}	{27.0: 8.43%, 28.0: 0.33%, 29.0: 0.04%, 33.0: 1.28%, 34.0: 57.10%, 35.0: 0.61%, 38.0: 0.55%, 39.0: 0.29%, 40.0: 22.00%, 41.0: 9.24%, 42.0: 0.14%}	1.00	1.00	1.00
mean_platelet_volume	15	50397064	50397085	15_50228277_50531183	AC	{11.0: 0.08%, 14.0: 0.02%, 17.0: 23.91%, 18.0: 20.35%, 19.0: 25.24%, 20.0: 18.54%, 21.0: 8.93%, 22.0: 2.62%, 23.0: 0.31%}	4.26e-12	-	intron:ATP8B4:protein_coding	0.98, 0.00139, 0.963, 0.486, 0.987	NaN, -, NaN, NaN, NaN	{11.0: 4.87%, 14.0: 10.12%, 17.0: 46.34%, 18.0: 20.80%, 19.0: 12.61%, 20.0: 2.65%, 21.0: 2.30%, 22.0: 0.28%, 23.0: 0.03%}	{11.0: 0.12%, 14.0: 0.07%, 17.0: 29.01%, 18.0: 13.35%, 19.0: 28.16%, 20.0: 11.23%, 21.0: 17.07%, 22.0: 0.91%, 23.0: 0.09%}	{11.0: 0.08%, 14.0: 0.11%, 17.0: 63.41%, 18.0: 5.19%, 19.0: 4.41%, 20.0: 5.65%, 21.0: 19.75%, 22.0: 1.40%, 23.0: 0.00%}	{11.0: 0.08%, 14.0: 0.02%, 17.0: 25.15%, 18.0: 19.97%, 19.0: 23.02%, 20.0: 18.22%, 21.0: 10.08%, 22.0: 3.17%, 23.0: 0.28%}	{11.0: 0.11%, 14.0: 0.06%, 17.0: 22.43%, 18.0: 21.49%, 19.0: 26.46%, 20.0: 16.86%, 21.0: 10.10%, 22.0: 2.21%, 23.0: 0.28%}	0.00	0.95	0.99
mean_platelet_volume	17	27842016	27842040	17_25885931_29975306	A	{21.0: 0.00%, 22.0: 48.23%, 23.0: 0.08%, 24.0: 31.21%, 25.0: 19.99%, 26.0: 0.49%}	0.00e+00	+	intron:TAOK1:protein_coding	0.0509, 1.44e-17, 0.0201, 7.03e-30, 8.68e-45	NaN, +, +, +, +	{21.0: 4.43%, 22.0: 15.07%, 23.0: 0.00%, 24.0: 20.64%, 25.0: 59.38%, 26.0: 0.48%}	{21.0: 0.00%, 22.0: 36.70%, 23.0: 0.05%, 24.0: 35.58%, 25.0: 27.26%, 26.0: 0.40%}	{21.0: 0.00%, 22.0: 2.68%, 24.0: 30.43%, 25.0: 63.35%, 26.0: 3.54%}	{21.0: 0.01%, 22.0: 50.94%, 23.0: 0.07%, 24.0: 28.74%, 25.0: 19.72%, 26.0: 0.52%}	{21.0: 0.02%, 22.0: 47.75%, 23.0: 0.08%, 24.0: 30.99%, 25.0: 20.72%, 26.0: 0.45%}	1.00	1.00	1.00
mean_platelet_volume	17	33871548	33871564	17_33698391_34458145	A	{16.0: 2.20%, 17.0: 68.58%, 18.0: 18.86%, 19.0: 4.89%, 20.0: 1.62%, 21.0: 3.83%, 22.0: 0.00%}	4.30e-62	-	three_prime_UTR:SLFN14:protein_coding	0.299, 0.000193, 0.221, 0.00174, 3.92e-6	NaN, -, NaN, -, -	{16.0: 1.66%, 17.0: 41.27%, 18.0: 25.67%, 19.0: 22.56%, 20.0: 3.89%, 21.0: 4.65%, 22.0: 0.30%}	{16.0: 4.96%, 17.0: 56.51%, 18.0: 26.57%, 19.0: 4.24%, 20.0: 0.39%, 21.0: 7.34%, 22.0: 0.00%}	{16.0: 20.81%, 17.0: 60.72%, 18.0: 16.02%, 19.0: 1.18%, 20.0: 0.05%, 21.0: 1.22%}	{16.0: 2.07%, 17.0: 71.46%, 18.0: 16.59%, 19.0: 4.25%, 20.0: 1.66%, 21.0: 3.97%, 22.0: 0.00%}	{16.0: 2.22%, 17.0: 65.62%, 18.0: 20.68%, 19.0: 5.88%, 20.0: 1.83%, 21.0: 3.78%, 22.0: 0.01%}	1.00	1.00	1.00
mean_platelet_volume	18	67536040	67536077	18_67215622_68049239	AC	{17.0: 0.01%, 18.0: 2.88%, 19.0: 0.26%, 20.0: 8.81%, 21.0: 60.80%, 22.0: 24.67%, 23.0: 2.55%, 24.0: 0.01%}	6.73e-34	-	intron:CD226:protein_coding	0.0292, 0.00199, 0.329, 0.0126, 0.127	-, -, NaN, -, NaN	{17.0: 0.36%, 18.0: 6.08%, 19.0: 37.92%, 20.0: 14.54%, 21.0: 28.57%, 22.0: 10.98%, 23.0: 1.55%, 24.0: 0.00%}	{17.0: 0.01%, 18.0: 2.20%, 19.0: 0.39%, 20.0: 13.35%, 21.0: 53.42%, 22.0: 29.47%, 23.0: 1.13%, 24.0: 0.03%}	{17.0: 0.00%, 18.0: 0.34%, 19.0: 0.27%, 20.0: 16.86%, 21.0: 63.54%, 22.0: 18.84%, 23.0: 0.15%, 24.0: 0.00%}	{17.0: 0.01%, 18.0: 3.53%, 19.0: 0.28%, 20.0: 8.97%, 21.0: 60.20%, 22.0: 24.69%, 23.0: 2.32%, 24.0: 0.01%}	{17.0: 0.01%, 18.0: 2.56%, 19.0: 0.55%, 20.0: 8.56%, 21.0: 59.73%, 22.0: 25.96%, 23.0: 2.61%, 24.0: 0.02%}	1.00	0.97	0.94
mean_platelet_volume	19	16201097	16201113	19_15856894_16971300	A	{16.0: 0.42%, 17.0: 91.07%, 18.0: 8.52%}	7.61e-56	+	intron:TPM4:protein_coding	6.57e-11, 0.165, 0.125, 0.00102, 0.031	+, NaN, NaN, +, +	{16.0: 1.97%, 17.0: 77.32%, 18.0: 20.71%}	{16.0: 0.28%, 17.0: 95.59%, 18.0: 4.13%}	{16.0: 0.78%, 17.0: 97.39%, 18.0: 1.83%}	{16.0: 0.41%, 17.0: 90.95%, 18.0: 8.64%}	{16.0: 0.41%, 17.0: 89.73%, 18.0: 9.86%}	1.00	0.89	1.00
mean_sphered_cell_volume	4	57724658	57724677	4_57583306_58024602	AT	{6.0: 18.98%, 8.0: 0.02%, 9.0: 0.00%, 10.0: 21.14%, 11.0: 3.76%, 12.0: 0.05%, 13.0: 0.09%, 15.0: 0.00%, 16.0: 4.25%, 17.0: 20.22%, 18.0: 6.38%, 19.0: 7.37%, 20.0: 1.48%, 21.0: 1.12%, 22.0: 2.11%, 23.0: 0.87%, 24.0: 1.63%, 25.0: 0.82%, 26.0: 9.71%}	1.48e-21	-	intergenic	0.197, 0.0157, 0.857, 0.219, 0.974	NaN, -, NaN, NaN, NaN	{6.0: 16.80%, 8.0: 0.15%, 9.0: 1.35%, 10.0: 8.52%, 11.0: 11.94%, 12.0: 1.10%, 13.0: 0.02%, 15.0: 0.40%, 16.0: 1.56%, 17.0: 3.88%, 18.0: 2.30%, 19.0: 3.41%, 20.0: 12.81%, 21.0: 0.14%, 22.0: 5.46%, 23.0: 10.03%, 24.0: 8.78%, 25.0: 0.77%, 26.0: 10.57%}	{6.0: 42.42%, 8.0: 0.05%, 9.0: 0.01%, 10.0: 15.57%, 11.0: 0.65%, 12.0: 0.16%, 13.0: 0.63%, 15.0: 0.00%, 16.0: 3.15%, 17.0: 10.14%, 18.0: 10.17%, 19.0: 5.28%, 20.0: 2.76%, 21.0: 1.74%, 22.0: 0.52%, 23.0: 1.43%, 24.0: 0.32%, 25.0: 1.13%, 26.0: 3.84%}	{6.0: 63.50%, 8.0: 2.07%, 9.0: 0.00%, 10.0: 2.41%, 11.0: 0.26%, 12.0: 0.01%, 13.0: 0.01%, 15.0: 0.01%, 16.0: 0.18%, 17.0: 1.57%, 18.0: 13.64%, 19.0: 0.89%, 20.0: 5.78%, 21.0: 0.67%, 22.0: 1.20%, 23.0: 0.81%, 24.0: 0.65%, 25.0: 0.53%, 26.0: 5.80%}	{6.0: 18.75%, 8.0: 0.02%, 9.0: 0.00%, 10.0: 19.57%, 11.0: 3.76%, 12.0: 0.07%, 13.0: 0.12%, 15.0: 0.00%, 16.0: 3.72%, 17.0: 21.36%, 18.0: 7.74%, 19.0: 7.59%, 20.0: 1.29%, 21.0: 1.25%, 22.0: 1.93%, 23.0: 0.62%, 24.0: 1.49%, 25.0: 0.84%, 26.0: 9.90%}	{6.0: 19.76%, 8.0: 0.03%, 9.0: 0.00%, 10.0: 22.35%, 11.0: 3.05%, 12.0: 0.10%, 13.0: 0.10%, 15.0: 0.01%, 16.0: 4.45%, 17.0: 20.58%, 18.0: 6.61%, 19.0: 6.28%, 20.0: 1.67%, 21.0: 1.58%, 22.0: 1.93%, 23.0: 0.85%, 24.0: 1.49%, 25.0: 0.73%, 26.0: 8.43%}	1.00	1.00	1.00
mean_sphered_cell_volume	11	119077000	119077033	11_118812684_119333561	CCG	{5.33: 0.19%, 7.33: 0.33%, 8.33: 0.09%, 10.33: 0.04%, 11.33: 71.52%, 12.33: 9.09%, 13.33: 6.76%, 14.33: 6.98%, 15.33: 0.25%, 16.33: 0.11%, 17.33: 3.04%, 18.33: 0.31%, 19.33: 0.05%, 20.33: 0.00%, 21.33: 0.02%, 22.33: 0.04%, 23.33: 0.21%, 24.33: 0.24%, 25.33: 0.36%, 26.33: 0.01%, 30.33: 0.35%}	6.88e-16	-	five_prime_UTR:CBL:protein_coding	0.479, 0.191, 0.0306, 0.0538, 0.0147	NaN, NaN, -, NaN, -	{5.33: 0.01%, 7.33: 0.03%, 8.33: 15.29%, 10.33: 5.22%, 11.33: 62.12%, 12.33: 11.17%, 13.33: 4.57%, 14.33: 0.97%, 15.33: 0.08%, 16.33: 0.01%, 17.33: 0.23%, 18.33: 0.07%, 19.33: 0.01%, 21.33: 0.08%, 22.33: 0.00%, 23.33: 0.03%, 24.33: 0.06%, 25.33: 0.04%, 26.33: 0.01%, 30.33: 0.02%}	{5.33: 0.06%, 7.33: 0.06%, 8.33: 0.05%, 10.33: 0.05%, 11.33: 60.11%, 12.33: 6.63%, 13.33: 2.10%, 14.33: 23.45%, 15.33: 1.35%, 16.33: 0.03%, 17.33: 1.30%, 18.33: 0.97%, 19.33: 0.08%, 20.33: 0.00%, 21.33: 1.93%, 22.33: 0.04%, 23.33: 0.03%, 24.33: 1.55%, 25.33: 0.16%, 26.33: 0.01%, 30.33: 0.04%}	{5.33: 0.02%, 7.33: 0.00%, 8.33: 0.07%, 10.33: 0.06%, 11.33: 74.41%, 12.33: 2.53%, 13.33: 2.20%, 14.33: 6.39%, 15.33: 11.35%, 16.33: 0.00%, 17.33: 0.21%, 18.33: 1.83%, 19.33: 0.01%, 21.33: 0.08%, 22.33: 0.03%, 23.33: 0.01%, 24.33: 0.75%, 25.33: 0.02%, 26.33: 0.01%, 30.33: 0.03%}	{5.33: 0.11%, 7.33: 1.01%, 8.33: 0.06%, 10.33: 0.04%, 11.33: 69.02%, 12.33: 8.78%, 13.33: 7.63%, 14.33: 7.18%, 15.33: 0.23%, 16.33: 0.10%, 17.33: 3.94%, 18.33: 0.27%, 19.33: 0.05%, 20.33: 0.00%, 21.33: 0.01%, 22.33: 0.03%, 23.33: 0.24%, 24.33: 0.29%, 25.33: 0.42%, 26.33: 0.00%, 30.33: 0.56%}	{5.33: 0.19%, 7.33: 0.25%, 8.33: 0.29%, 10.33: 0.06%, 11.33: 72.39%, 12.33: 9.75%, 13.33: 5.70%, 14.33: 6.34%, 15.33: 0.43%, 16.33: 0.12%, 17.33: 2.65%, 18.33: 0.42%, 19.33: 0.05%, 20.33: 0.01%, 21.33: 0.05%, 22.33: 0.11%, 23.33: 0.18%, 24.33: 0.29%, 25.33: 0.34%, 26.33: 0.02%, 30.33: 0.36%}	1.00	0.70	1.00
mean_sphered_cell_volume	16	67229794	67229850	16_66290540_68399574	AGC	{12.0: 0.00%, 13.0: 0.39%, 15.0: 0.00%, 16.0: 0.00%, 17.0: 0.23%, 18.0: 0.02%, 19.0: 96.61%, 20.0: 2.29%, 21.0: 0.00%, 22.0: 0.02%, 23.0: 0.10%, 24.0: 0.31%}	3.07e-23	+	CDS,three_prime_UTR:E2F4:protein_coding	0.492, 0.287, 0.353, 0.351, 0.254	NaN, NaN, NaN, NaN, NaN	{12.0: 0.29%, 13.0: 0.07%, 15.0: 0.01%, 16.0: 1.93%, 17.0: 0.02%, 18.0: 0.00%, 19.0: 89.34%, 20.0: 2.97%, 21.0: 0.00%, 22.0: 4.54%, 23.0: 0.79%, 24.0: 0.05%}	{12.0: 0.01%, 13.0: 0.06%, 15.0: 0.00%, 16.0: 0.02%, 17.0: 0.00%, 18.0: 0.02%, 19.0: 98.37%, 20.0: 1.41%, 21.0: 0.05%, 22.0: 0.04%, 23.0: 0.00%, 24.0: 0.02%}	{12.0: 0.00%, 16.0: 0.00%, 17.0: 0.00%, 18.0: 0.01%, 19.0: 96.16%, 20.0: 2.08%, 21.0: 1.72%, 22.0: 0.03%, 23.0: 0.00%}	{12.0: 0.00%, 13.0: 0.24%, 15.0: 0.00%, 16.0: 0.00%, 17.0: 0.19%, 18.0: 0.02%, 19.0: 96.79%, 20.0: 2.28%, 21.0: 0.01%, 22.0: 0.00%, 23.0: 0.07%, 24.0: 0.41%}	{12.0: 0.01%, 13.0: 0.35%, 15.0: 0.00%, 16.0: 0.03%, 17.0: 0.16%, 18.0: 0.03%, 19.0: 96.15%, 20.0: 2.89%, 21.0: 0.01%, 22.0: 0.08%, 23.0: 0.08%, 24.0: 0.22%}	1.00	1.00	1.00
mean_sphered_cell_volume	17	44084292	44084364	17_41589118_45031949	AAAAT	{11.6: 22.84%, 12.6: 0.72%, 12.8: 0.01%, 13.6: 18.60%, 14.6: 57.68%, 15.6: 0.15%, 17.6: 0.00%}	5.43e-82	+	intron:MAPT:protein_coding	0.765, 0.357, 0.132, 0.00358, 0.000589	NaN, NaN, NaN, +, +	{11.6: 2.18%, 12.6: 5.65%, 12.8: 1.76%, 13.6: 18.38%, 14.6: 67.58%, 15.6: 3.86%, 17.6: 0.59%}	{11.6: 8.32%, 12.6: 0.61%, 12.8: 0.01%, 13.6: 15.24%, 14.6: 75.75%, 15.6: 0.07%, 17.6: 0.00%}	{11.6: 0.54%, 12.6: 0.14%, 12.8: 0.02%, 13.6: 28.01%, 14.6: 69.71%, 15.6: 1.58%, 17.6: 0.00%}	{11.6: 20.99%, 12.6: 0.72%, 12.8: 0.01%, 13.6: 19.63%, 14.6: 58.52%, 15.6: 0.14%, 17.6: 0.00%}	{11.6: 21.62%, 12.6: 0.80%, 12.8: 0.02%, 13.6: 16.62%, 14.6: 60.74%, 15.6: 0.20%, 17.6: 0.00%}	1.00	1.00	0.00
mean_sphered_cell_volume	19	17252977	17253000	19_17013772_17580454	A	{20.0: 0.00%, 24.0: 60.30%, 25.0: 19.03%, 26.0: 20.61%, 27.0: 0.04%, 34.0: 0.01%}	2.05e-65	+	intron:MYO9B:protein_coding	0.00121, 0.0146, 0.0557, 9.27e-6, 0.000207	+, +, NaN, +, +	{20.0: 0.01%, 24.0: 31.74%, 25.0: 38.47%, 26.0: 25.26%, 27.0: 3.82%, 34.0: 0.70%}	{20.0: 0.07%, 24.0: 62.64%, 25.0: 15.61%, 26.0: 21.57%, 27.0: 0.06%, 34.0: 0.05%}	{20.0: 0.04%, 24.0: 66.08%, 25.0: 26.55%, 26.0: 7.31%, 27.0: 0.01%, 34.0: 0.01%}	{20.0: 0.00%, 24.0: 59.96%, 25.0: 19.82%, 26.0: 20.18%, 27.0: 0.02%, 34.0: 0.02%}	{20.0: 0.01%, 24.0: 61.84%, 25.0: 19.06%, 26.0: 18.85%, 27.0: 0.22%, 34.0: 0.02%}	1.00	1.00	1.00
mean_sphered_cell_volume	22	32897470	32897484	22_32732821_33035237	A	{10.0: 0.00%, 13.0: 21.67%, 14.0: 38.20%, 15.0: 39.96%, 16.0: 0.16%, 18.0: 0.02%}	6.10e-79	+	intergenic	0.235, 0.00497, 0.889, 0.00253, 0.000752	NaN, +, NaN, +, +	{10.0: 0.01%, 13.0: 9.28%, 14.0: 42.80%, 15.0: 41.27%, 16.0: 0.91%, 18.0: 5.74%}	{10.0: 0.10%, 13.0: 13.21%, 14.0: 37.75%, 15.0: 48.62%, 16.0: 0.30%, 18.0: 0.02%}	{10.0: 0.01%, 13.0: 12.95%, 14.0: 54.34%, 15.0: 31.98%, 16.0: 0.71%, 18.0: 0.00%}	{10.0: 0.00%, 13.0: 22.54%, 14.0: 39.49%, 15.0: 37.80%, 16.0: 0.15%, 18.0: 0.02%}	{10.0: 0.00%, 13.0: 21.00%, 14.0: 37.72%, 15.0: 41.04%, 16.0: 0.19%, 18.0: 0.05%}	1.00	0.69	0.75
neutrophil_count	15	51515456	51515482	15_50591633_51641055	AATG	{6.75: 69.48%, 7.75: 30.52%, 10.75: 0.00%}	1.87e-13	+	multigene;intron:CYP19A1:protein_coding;intron:MIR4713HG:lncRNA	0.101, 1.0, 0.917, 0.0373, 0.263	NaN, NaN, NaN, +, NaN	{6.75: 79.73%, 7.75: 18.57%, 10.75: 1.70%}	{6.75: 78.54%, 7.75: 21.46%, 10.75: 0.00%}	{6.75: 91.21%, 7.75: 8.75%, 10.75: 0.04%}	{6.75: 70.43%, 7.75: 29.57%, 10.75: 0.00%}	{6.75: 68.65%, 7.75: 31.34%, 10.75: 0.01%}	0.92	0.96	1.00
platelet_count	2	111874390	111874405	2_111743604_112400538	A	{15.0: 6.26%, 16.0: 80.17%, 17.0: 13.57%}	2.54e-13	-	multigene;intron:ACOXL:protein_coding;intron:MIR4435-2HG:lncRNA	0.286, 0.973, 0.0121, 0.187, 0.0978	NaN, NaN, -, NaN, NaN	{15.0: 16.13%, 16.0: 57.92%, 17.0: 25.94%}	{15.0: 5.84%, 16.0: 86.09%, 17.0: 8.07%}	{15.0: 11.76%, 16.0: 61.42%, 17.0: 26.82%}	{15.0: 5.50%, 16.0: 79.74%, 17.0: 14.77%}	{15.0: 6.26%, 16.0: 82.90%, 17.0: 10.84%}	1.00	1.00	1.00
platelet_count	11	8845751	8845763	11_8597440_9209101	A	{12.0: 49.55%, 13.0: 46.85%, 14.0: 3.61%}	2.02e-32	+	intron:DENND2B:protein_coding	0.88, 0.245, 0.926, 0.636, 0.0203	NaN, NaN, NaN, NaN, +	{12.0: 25.59%, 13.0: 74.08%, 14.0: 0.33%}	{12.0: 43.27%, 13.0: 54.37%, 14.0: 2.35%}	{12.0: 57.08%, 13.0: 42.92%, 14.0: 0.00%}	{12.0: 48.62%, 13.0: 47.51%, 14.0: 3.88%}	{12.0: 46.45%, 13.0: 50.62%, 14.0: 2.93%}	0.95	0.97	1.00
